Order,UID,School_ID,CDS_Code,char_prem_id,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,EEM,EE_Retrofit_Type,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median
84,9620000000000_93,9620000000000_93,9.61979E+12,2429036870,0.19,NA,NA,NA,NA,NA,26.48,1981,115075,NA,NA,14.07,NA,NA,NA,19.68,18.13,17.09,13.25,NA,NA,1,0,0,NA
85,10600000000000_94,10600000000000_94,1.06217E+13,2455463536,0.13,0,100,0,0,100,31.64,2012,45347,95,NA,17.43,NA,NA,NA,99.91,29.25,54.37,33.65,NA,NA,0,0,0,NA
86,17600000000000_95,17600000000000_95,1.76401E+13,2470657642,0.17,0,81.88,0.32,17.81,100,29.22,1921,50958,64.5,NA,13.19,NA,NA,NA,69.99,20.46,35.75,27.85,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
87,17600000000000_96,17600000000000_96,1.76401E+13,2470670158,0.18,0,40.06,7.29,52.64,100,28.72,1979,52250,79.5,NA,19.99,NA,NA,NA,69.99,20.46,35.75,30.2,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
88,23700000000000_98,23700000000000_98,2.36561E+13,2522804595,0.21,0.4,39.38,5.09,55.13,100,28.97,1930,49375,100,NA,NA,NA,NA,NA,62.7,36.2,21,14.05,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
89,39700000000000_99,39700000000000_99,3.9685E+13,2526130329,0.24,0,100,0,0,100,26.29,1952,171534,41.5,NA,8.44,NA,NA,NA,37.33,49.49,63.06,13.55,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC,0,1,0,NA
90,1610000000000_100,1610000000000_100,1.61309E+12,2568760422,0.11,0,100,0,0,100,27.86,2003,117917,NA,428.5,6.5,65.92,NA,98.5,80.37,19.56,37.46,NA,NA,NA,0,0,0,NA
91,41700000000000_101,41700000000000_101,4.16906E+13,2595719171,0.15,0,100,0,0,100,27.17,1923,138869,38.5,NA,62.98,NA,NA,NA,20.95,51.16,36.06,20.75,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
92,1610000000000_102,1610000000000_102,1.61259E+12,2853412739,0.05,12.89,85.76,0,1.35,100,27.4,2003,34545,NA,NA,6,NA,NA,1523.5,87.03,19.56,38.8,19.7,NA,NA,0,0,0,NA
93,15700000000000_103,15700000000000_103,1.57391E+13,2875427394,0.13,0,98.65,0,1.35,100,32.41,1998,39063,88,NA,13.5,NA,NA,NA,59.59,27.08,49.45,18.45,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
94,15600000000000_104,15600000000000_104,1.563529e+13,2887047833,0.11,0,100,0,0,100,33.15,1985,28379,NA,725.5,NA,NA,NA,36,84.72,27.08,50.34,23.9,Building Envelope- Windows/Skylights,Building_Envelope,0,0,0,NA
95,9620000000000_105,9620000000000_105,9.61853e+12,2887185563,0.16,0,76.97,4.94,18.09,100,27.96,NA,44803,NA,119.5,NA,NA,NA,16,45.48,18.13,33.85,17.1,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
96,9620000000000_106,9620000000000_106,9.61853E+12,2887200165,0.19,0,74.26,5.6,20.14,100,27.17,1981,163333,NA,NA,44.21,NA,NA,16,21.27,18.13,17.67,10,NA,NA,0,0,0,NA
97,9620000000000_107,9620000000000_107,9.61853E+12,2887201208,0.2,0,78.72,7.13,14.14,100,27.14,1981,163333,NA,NA,44.21,NA,NA,16,21.27,18.13,17.67,10,NA,NA,0,0,0,NA
98,9620000000000_108,9620000000000_108,9.61853E+12,2887202251,0.23,0,42.01,30.19,27.8,100,26.39,1999,62805,NA,NA,32.27,NA,NA,16,45.48,18.13,33.85,25.55,NA,NA,0,0,0,NA
99,9620000000000_109,9620000000000_109,9.61853E+12,2887203294,0.23,NA,NA,NA,NA,NA,26.39,1999,62805,NA,NA,32.27,NA,NA,16,45.48,18.13,33.85,25.55,NA,NA,0,0,0,NA
100,9620000000000_110,9620000000000_110,9.61853E+12,2887204337,0.22,0,79.52,15.56,4.92,100,26.59,2002,62841,NA,NA,NA,NA,NA,16,49.36,18.13,34.49,NA,NA,NA,0,0,0,NA
101,9620000000000_111,9620000000000_111,9.61853E+12,2887205380,0.23,0.32,48.73,36.17,14.79,100,25.49,1963,160438,NA,NA,36.26,NA,NA,16,29.48,18.13,24.19,13.15,NA,NA,0,0,0,NA
102,1610000000000_112,1610000000000_112,1.61259E+12,2939378408,0.07,0,100,0,0,100,28.52,1970,31292,NA,NA,24.59,NA,NA,1523.5,129.22,19.56,47.86,63.15,NA,NA,0,0,0,NA
103,1610000000000_113,1610000000000_113,1.61259E+12,2939379451,0.08,0,100,0,0,100,28.84,2006,57601,NA,NA,9.17,NA,NA,1523.5,208.36,19.56,39.63,46.3,NA,NA,0,0,0,NA
104,1610000000000_114,1610000000000_114,1.61259E+12,2939385709,0.09,0,100,0,0,100,27.99,2006,47938,NA,NA,16,NA,NA,1523.5,96.02,19.56,37.76,39.15,NA,NA,0,0,0,NA
105,1610000000000_115,1610000000000_115,1.61259E+12,2939393010,0.1,0,100,0,0,100,27.28,2005,66912,NA,NA,8.89,NA,NA,1523.5,129.22,19.56,34.8,25.95,NA,NA,0,0,0,NA
106,1610000000000_116,1610000000000_116,1.61259E+12,2939401354,0.09,0,100,0,0,100,28.74,2006,58750,NA,NA,NA,NA,NA,1523.5,226.34,19.56,30.02,NA,NA,NA,0,0,0,NA
107,1610000000000_117,1610000000000_117,1.6126E+12,2939446203,0.16,0,100,0,0,100,24.67,1935,250000,NA,NA,7.57,NA,NA,NA,39.19,19.56,35.33,4.95,NA,NA,0,0,0,NA
108,1610000000000_118,1610000000000_118,1.61259E+12,2939464977,0.09,0,100,0,0,100,28.77,2007,46098,NA,NA,9.22,NA,NA,1523.5,155.95,19.56,32.79,42.85,NA,NA,0,0,0,NA
