"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"86",218,"27700000000000_233",0.21,36.2,24.37,0.2,39.23,22.58,1978,117748,81.5,52.18,241,59.6,39.52,41.36,37.6,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",2.77383e+13,"6356124124","27738252730034"
"87",220,"41700000000000_235",0.16,0.73,77.24,4.15,17.89,22.84,1957,109861,12,12.81,264,53.97,51.16,19.11,9.95,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16893e+13,"6666216809","41689326043939"
"88",221,"11600000000000_236",0.17,0,99.75,0,0.25,28.95,1952,56250,85,21.41,13,60.5,22.22,49.32,34.85,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.16266e+13,"6710287639","11626616007603"
"89",227,"54700000000000_243",0.1,0,77.75,0,22.25,37.29,1952,39000,28,11.29,241,44.85,61.96,55.56,39.25,1,0,0,"Lighting Controls","Lighting",5.471795e+13,"6791459158","5.471795e+13"
"90",229,"41700000000000_245",0.12,0,100,0,0,27.6,1945,90750,62.5,13.27,645,46.72,51.16,52.45,22.35,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"6875951694","41690396045017"
"91",233,"27700000000000_249",0.17,0,80.44,0,19.56,25.9,2010,69125,64.5,9.52,241,76.7,34.92,31.41,15.45,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",2.76619e+13,"6965709178","27661910122911"
"92",240,"17600000000000_257",0.16,30.54,60.85,3.03,5.58,23.79,1954,50000,49,19.11,32.5,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105978056","1.764048e+13"
"93",241,"17600000000000_258",0.16,0,79.41,7.07,0,23.79,1954,50000,98,10.59,205,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105979099","1.764048e+13"
"94",242,"17600000000000_259",0.16,0,48.73,0,11.67,23.79,1954,50000,81,42.73,205,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105980142","1.764048e+13"
"95",243,"17600000000000_260",0.16,0,80.97,2.39,0.38,23.79,1954,50000,80,17.57,32.5,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105981185","1.764048e+13"
"96",244,"17600000000000_261",0.16,0,88.03,3.11,1.43,23.79,1954,50000,87.5,15.28,205,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105982228","1.764048e+13"
"97",245,"17600000000000_262",0.16,0,97.45,0,0,23.79,1954,50000,93.5,28.2,32.5,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105983271","1.764048e+13"
"98",246,"17600000000000_263",0.16,0.16,72.97,10.66,3.76,23.79,1954,50000,80,11.15,32.5,85.65,20.46,22.07,41.1,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.764048e+13,"7105984314","1.764048e+13"
"99",247,"41700000000000_264",0.1,13.62,86.38,0,0,27.16,2012,250000,7,13.33,85.5,38.89,51.16,46.54,10.25,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"7140380950","41690396044895"
"100",253,"16700000000000_270",0.1,1.12,76.73,0,17.42,34.95,2005,59024,100,7.11,32.5,45.07,42.51,20.5,25.95,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.673932e+13,"7230309207","1.673932e+13"
"101",255,"16700000000000_272",0.09,0,99.75,0,0.25,35.7,2001,57543,96.5,15.18,32.5,45.07,42.51,20.5,46.8,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.67393e+13,"7240518316","16739326118566"
"102",259,"20700000000000_276",0.16,0,99.9,0,0.1,30.64,1991,128635,87.5,23.63,1523.5,57.45,19.56,31.22,38.1,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.06519e+13,"7397370256","20651936023881"
